record_id,date,road_name,vehicle_count,average_speed_kmph,traffic_density,weather
433,2024-01-19 00:00:00,Main Street,280,21,Medium,Rainy
434,2024-01-19 01:00:00,City Ring Road,135,22,Medium,Rainy
435,2024-01-19 02:00:00,Main Street,175,42,Medium,Clear
436,2024-01-19 03:00:00,Main Street,349,74,Low,Clear
437,2024-01-19 04:00:00,NH-48,74,31,Medium,Clear
438,2024-01-19 05:00:00,City Ring Road,194,39,Medium,Clear
439,2024-01-19 06:00:00,Main Street,62,24,Medium,Foggy
440,2024-01-19 07:00:00,NH-44,261,56,High,Clear
441,2024-01-19 08:00:00,NH-44,74,57,Low,Clear
442,2024-01-19 09:00:00,Bypass Road,117,49,Medium,Clear
443,2024-01-19 10:00:00,City Ring Road,443,28,Medium,Rainy
444,2024-01-19 11:00:00,City Ring Road,116,53,Medium,Rainy
445,2024-01-19 12:00:00,Bypass Road,282,72,Low,Foggy
446,2024-01-19 13:00:00,Main Street,158,63,Low,Clear
447,2024-01-19 14:00:00,City Ring Road,195,54,High,Clear
448,2024-01-19 15:00:00,NH-44,160,71,Medium,Foggy
449,2024-01-19 16:00:00,NH-44,277,77,Medium,Rainy
450,2024-01-19 17:00:00,NH-48,160,41,Medium,Clear
451,2024-01-19 18:00:00,City Ring Road,83,63,Medium,Rainy
452,2024-01-19 19:00:00,Main Street,160,43,Low,Rainy
453,2024-01-19 20:00:00,Bypass Road,313,36,Medium,Rainy
454,2024-01-19 21:00:00,Bypass Road,473,29,Medium,Rainy
455,2024-01-19 22:00:00,Main Street,418,49,High,Clear
456,2024-01-19 23:00:00,NH-48,285,75,Low,Clear
457,2024-01-20 00:00:00,Bypass Road,132,78,Medium,Clear
458,2024-01-20 01:00:00,City Ring Road,91,65,Medium,Rainy
459,2024-01-20 02:00:00,NH-48,474,42,Medium,Rainy
460,2024-01-20 03:00:00,City Ring Road,150,51,Medium,Rainy
461,2024-01-20 04:00:00,NH-44,55,36,Medium,Clear
462,2024-01-20 05:00:00,NH-48,229,69,High,Rainy
463,2024-01-20 06:00:00,Bypass Road,331,70,High,Rainy
464,2024-01-20 07:00:00,NH-48,369,36,Medium,Rainy
465,2024-01-20 08:00:00,NH-48,275,33,High,Rainy
466,2024-01-20 09:00:00,NH-48,492,28,Medium,Rainy
467,2024-01-20 10:00:00,NH-48,489,59,Medium,Clear
468,2024-01-20 11:00:00,City Ring Road,364,21,Low,Clear
469,2024-01-20 12:00:00,NH-44,414,64,High,Clear
470,2024-01-20 13:00:00,Main Street,278,44,Low,Clear
471,2024-01-20 14:00:00,NH-48,426,58,Low,Rainy
472,2024-01-20 15:00:00,Bypass Road,338,28,Low,Rainy
473,2024-01-20 16:00:00,NH-48,486,73,Medium,Clear
474,2024-01-20 17:00:00,Bypass Road,199,41,Low,Clear
475,2024-01-20 18:00:00,City Ring Road,326,62,Low,Rainy
476,2024-01-20 19:00:00,Bypass Road,247,65,Low,Clear
477,2024-01-20 20:00:00,Main Street,119,23,Low,Clear
478,2024-01-20 21:00:00,NH-44,161,45,Medium,Clear
479,2024-01-20 22:00:00,Bypass Road,53,77,Medium,Clear
480,2024-01-20 23:00:00,Bypass Road,399,48,Medium,Clear
481,2024-01-21 00:00:00,NH-44,380,64,Medium,Clear
482,2024-01-21 01:00:00,Main Street,495,53,Medium,Clear
483,2024-01-21 02:00:00,NH-48,367,42,Low,Foggy
484,2024-01-21 03:00:00,Bypass Road,399,56,Medium,Clear
485,2024-01-21 04:00:00,NH-44,144,30,High,Rainy
486,2024-01-21 05:00:00,City Ring Road,201,25,Medium,Clear
487,2024-01-21 06:00:00,NH-44,360,37,Low,Clear
488,2024-01-21 07:00:00,City Ring Road,186,40,Medium,Rainy
489,2024-01-21 08:00:00,Main Street,296,61,Medium,Clear
490,2024-01-21 09:00:00,NH-48,436,55,Medium,Clear
491,2024-01-21 10:00:00,NH-44,292,60,Low,Clear
492,2024-01-21 11:00:00,Bypass Road,80,57,Low,Rainy
493,2024-01-21 12:00:00,Main Street,89,53,Low,Clear
494,2024-01-21 13:00:00,NH-44,278,36,High,Clear
495,2024-01-21 14:00:00,Bypass Road,85,56,High,Rainy
496,2024-01-21 15:00:00,NH-44,457,44,Low,Clear
497,2024-01-21 16:00:00,City Ring Road,272,57,Low,Rainy
498,2024-01-21 17:00:00,NH-44,55,77,High,Rainy
499,2024-01-21 18:00:00,NH-44,371,31,Low,Foggy
500,2024-01-21 19:00:00,NH-44,269,42,Low,Clear
